EDUC_label,INCWAGE
No schooling,42428.47393245708
Nursery–Grade 4,37594.91931540342
Grades 5–8,39174.11187285759
Grade 9,38536.108507314304
Grade 10,41619.715452688906
Grade 11,41401.98106101366
"Grade 12 (HS, no diploma)",50194.06482229344
1 year of college,58374.71517782843
2 years of college,59523.69006518949
4 years of college (Bachelor's),91876.77881394296
5+ years of college (Graduate),123191.11038732635
